date, pm25, pm10, no2, co
2016/10/21, 65, 21, 40, 
2016/10/22, 59, 33, 32, 
2016/10/23, 85, 30, 32, 
2016/10/24, 80, 29, 33, 
2016/10/25, 72, 26, 27, 
2016/10/26, 63, 27, 28, 
2016/10/27, 68, 21, 34, 
2016/10/28, 55, 35, 42, 
2016/10/29, 76, 44, 37, 
2016/10/30, 107, 54, 42, 
2016/10/31, 114, 39, 34, 
2016/11/1, 104, 43, 30, 
2016/11/2, 99, 49, 38, 
2016/11/3, 112, 50, 34, 
2016/11/4, 119, 29, 32, 
2016/11/5, 68, 23, 27, 
2016/11/6, 80, 27, 25, 
2016/11/7, 65, 21, 48, 
2016/11/8, 55, 30, 44, 
2016/11/9, 70, 41, 42, 
2016/11/10, 93, 54, 53, 
2016/11/11, 137, 53, 42, 
2016/11/12, 134, 37, 58, 
2016/11/13, 91, 32, 41, 
2016/11/14, 82, 26, 33, 
2016/11/15, 72, 40, 43, 
2016/11/16, 91, 59, 55, 
2016/11/17, 153, 81, 46, 
2016/11/18, 171, 61, 41, 
2016/11/19, 152, 51, 38, 
2016/11/20, 129, 40, 38, 
2016/11/21, 93, 23, 29, 
2016/11/22, 68, 19, 34, 
2016/11/23, 53, 40, 34, 
2016/11/24, 91, 28, 36, 
2016/11/25, 68, 21, 38, 
2016/11/26, 50, 16, 35, 
2016/11/27, 38, 38, 35, 
2016/11/28, 91, 35, 41, 
2016/11/29, 72, 19, 38, 
2016/11/30, 30, 32, 36, 
2016/12/1, 74, 29, 49, 
2016/12/2, 76, 36, 41, 
2016/12/3, 82, 54, 33, 
2016/12/4, 137, 54, 36, 
2016/12/5, 134, 71, 47, 
2016/12/6, 160, 71, 54, 
2016/12/7, 161, 64, 62, 
2016/12/8, 157, 67, 53, 
2016/12/9, 160, 69, 61, 
2016/12/10, 163, 72, 63, 
2016/12/11, 167, 58, 37, 
2016/12/12, 162, 62, 46, 
2016/12/13, 156, 66, 47, 
2016/12/14, 129, 55, 44, 
2016/12/15, 142, 67, 54, 
2016/12/16, 155, 63, 53, 
2016/12/17, 151, 66, 56, 
2016/12/18, 158, 53, 41, 
2016/12/19, 134, 50, 54, 
2016/12/20, 127, 41, 49, 
2016/12/21, 99, 38, 39, 
2016/12/22, 89, 54, 65, 
2016/12/23, 82, 66, 68, 
2016/12/24, 157, 49, 47, 
2016/12/25, 124, 66, 52, 
2016/12/26, 159, 65, 53, 
2016/12/27, 158, 29, 74, 
2016/12/28, 53, 40, 43, 
2016/12/29, 87, 34, 39, 
2016/12/30, 72, 56, 43, 
2016/12/31, 139, 63, 49, 
2017/1/1, 155, 103, 49, 
2017/1/2, 194, 58, 42, 
2016/7/2, 57, 20, 21, 
2016/7/3, 50, 15, 18, 
2016/7/4, 38, 12, 21, 
2016/7/5, 25, 24, 33, 
2016/7/6, 57, 23, 34, 
2016/7/7, 57, 24, 37, 
2016/7/8, 58, 25, 29, 
2016/7/9, 59, 26, 20, 
2016/7/10, 57, 27, 19, 
2016/7/11, 60, 24, 28, 
2016/7/12, 57, 18, 32, 
2016/7/13, 34, 19, 38, 
2016/7/14, 49, 3, 45, 
2016/7/15, 50, 7, 31, 
2016/7/16, 13, 8, 29, 
2016/7/17, 9, 13, 27, 
2016/7/18, 24, 17, 33, 
2016/7/19, 41, 24, 36, 
2016/7/20, 66, 30, 41, 
2016/7/21, 71, 25, 35, 
2016/7/22, 59, 24, 33, 
2016/7/23, 42, 19, 25, 
2016/7/24, 38, 17, 18, 
2016/7/25, 34, 25, 30, 
2016/7/26, 49, 18, 37, 
2016/7/27, 38, 17, 41, 
2016/7/28, 34, 18, 26, 
2016/7/29, 34, 20, 34, 
2016/7/30, 52, 17, 22, 
2016/7/31, 46, 11, 18, 
2016/8/1, 18, 14, 21, 
2016/8/2, 55, 11, 26, 
2016/8/3, 31, 16, 27, 
2016/8/4, 41, 20, 32, 
2016/8/5, 52, 8, 25, 
2016/8/6, 14, 6, 25, 
2016/8/7, 5, 6, 28, 
2016/8/8, 12, 12, 33, 
2016/8/9, 53, 18, 31, 
2016/8/10, 46, 9, 19, 
2016/8/11, 22, 5, 19, 
2016/8/12, 9, 9, 23, 
2016/8/13, 24, 16, 17, 
2016/8/14, 29, 23, 18, 
2016/8/15, 57, 17, 17, 
2016/8/16, 38, 14, 16, 
2016/8/17, 25, 12, 16, 
2016/8/18, 13, 14, 17, 
2016/8/19, 30, 18, 20, 
2016/8/20, 30, 21, 17, 
2016/8/21, 13, 16, 14, 
2016/8/22, 30, 10, 19, 
2016/8/23, 5, , 26, 
2016/8/27, 57, 28, 23, 
2016/8/28, 50, 26, 21, 
2016/8/29, 42, 22, 18, 
2016/8/30, 38, 20, 27, 
2016/8/31, 21, 23, 30, 
2016/9/1, 42, 30, 41, 
2016/9/2, 65, 32, 42, 
2016/9/3, 57, 30, 25, 
2016/9/4, 63, 29, 22, 
2016/9/5, 55, 24, 34, 
2016/9/6, 34, 22, 32, 
2016/9/7, 21, 17, 32, 
2016/9/8, 5, , 31, 
2016/9/10, 107, 34, , 
2016/9/11, 74, 23, , 
2016/9/12, 50, 29, , 
2016/9/13, 57, 39, 47, 
2016/9/14, 68, 40, 55, 
2016/9/15, 76, 43, 38, 
2016/9/16, 85, 25, 41, 
2016/9/17, 72, 16, 30, 
2016/9/18, 42, 14, 35, 
